function_entry	function_name	string
ffffffffbfc2a454	FUN_ffffffffbfc2a454	octeth%d
ffffffffbfc2a454	FUN_ffffffffbfc2a454	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc2a7b4	FUN_ffffffffbfc2a7b4	%s called with tag switch in progress\n
ffffffffbfc2a7e4	FUN_ffffffffbfc2a7e4	cvmx_phys_to_ptr() passed a zero address\n
ffffffffbfc2a8b0	FUN_ffffffffbfc2a8b0	cvmx_ptr_to_phys() passed a NULL pointer\n
ffffffffbfc2aa98	FUN_ffffffffbfc2aa98	WARNING: Tag switch is taking a long time, possible deadlock\n
ffffffffbfc2ab00	FUN_ffffffffbfc2ab00	cvmx_pow_work_request_sync
ffffffffbfc2ab00	FUN_ffffffffbfc2ab00	cvmx_pow_work_request_sync_nocheck
ffffffffbfc2abb4	FUN_ffffffffbfc2abb4	Down 
ffffffffbfc2abb4	FUN_ffffffffbfc2abb4	(port %2d)\n
ffffffffbfc2acd8	FUN_ffffffffbfc2acd8	Error packet received, dropping\n
ffffffffbfc2add8	FUN_ffffffffbfc2add8	ERROR allocating buffer for packet!\n
ffffffffbfc2add8	FUN_ffffffffbfc2add8	Failed to send the packet\n
ffffffffbfc2b09c	FUN_ffffffffbfc2b09c	Error packet received, dropping,%d\n
ffffffffbfc2b1c4	FUN_ffffffffbfc2b1c4	%s_fpa_alloc_%d
ffffffffbfc2b1c4	FUN_ffffffffbfc2b1c4	Unable to allocate %lu bytes for FPA pool %ld\n
ffffffffbfc2b2d4	FUN_ffffffffbfc2b2d4	disable_spi
ffffffffbfc2b2d4	FUN_ffffffffbfc2b2d4	SPI interface disabled with 'disable_spi' environment variable\n
ffffffffbfc2b2d4	FUN_ffffffffbfc2b2d4	Warning: Enabling FPA when FPA already enabled.\n
ffffffffbfc2b654	FUN_ffffffffbfc2b654	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc2b654	FUN_ffffffffbfc2b654	ERROR: TFTP network reset not supported on PASS 1\n
ffffffffbfc2b654	FUN_ffffffffbfc2b654	Neither interface is RGMII, unable to reset network HW\n
ffffffffbfc2b654	FUN_ffffffffbfc2b654	Error draining PKO: queue %d doorbell count: %d is not zero\n
ffffffffbfc2b654	FUN_ffffffffbfc2b654	ERROR: unable to reset packet input!\n
ffffffffbfc2bc94	FUN_ffffffffbfc2bc94	cvmx_cmd_queues
ffffffffbfc2bc94	FUN_ffffffffbfc2bc94	FATAL ERROR: Network shutdown failed.  Please reset the board.\n
ffffffffbfc2c804	FUN_ffffffffbfc2c804	PCI Status: %s %s-bit\n
ffffffffbfc2c804	FUN_ffffffffbfc2c804	PCI Status: %d MHz (measured %d-%d MHz)\n
ffffffffbfc2c804	FUN_ffffffffbfc2c804	PCI-X
ffffffffbfc2c804	FUN_ffffffffbfc2c804	PCI Status: SOFTWARE OVERRIDE to %s %d MHz\n
ffffffffbfc2cc7c	FUN_ffffffffbfc2cc7c	Starting PCI\n
ffffffffbfc2cc7c	FUN_ffffffffbfc2cc7c	PCI BAR 0: 0x%08lx, PCI BAR 1: Memory 0x%08lx  PCI 0x%08lx\n
ffffffffbfc2e45c	FUN_ffffffffbfc2e45c	cvmx_phys_to_ptr() passed a zero address\n
ffffffffbfc2e518	FUN_ffffffffbfc2e518	cvmx_ptr_to_phys() passed a NULL pointer\n
ffffffffbfc2e564	FUN_ffffffffbfc2e564	ERROR: cvmx_cmd_queue_shutdown: Unable to get queue information.\n
ffffffffbfc2e564	FUN_ffffffffbfc2e564	ERROR: cvmx_cmd_queue_shutdown: Queue still has data in it.\n
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	cvmx_cmd_queues
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	ERROR: cvmx_cmd_queue_initialize: Unable to get named block %s.\n
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	ERROR: cvmx_cmd_queue_initialize: Queue already initalized with different max_depth (%d).\n
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	ERROR: cvmx_cmd_queue_initialize: Queue already initalized with different FPA pool (%u).\n
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	ERROR: cvmx_cmd_queue_initialize: Queue already initalized with different FPA pool size (%u).\n
ffffffffbfc2e6d8	FUN_ffffffffbfc2e6d8	ERROR: cvmx_cmd_queue_initialize: Unable to allocate initial buffer.\n
ffffffffbfc2f12c	FUN_ffffffffbfc2f12c	Warning: Enabling IPD when IPD already enabled.\n
ffffffffbfc2f384	FUN_ffffffffbfc2f384	Interface %d has %d ports (%s)\n
ffffffffbfc2f8cc	FUN_ffffffffbfc2f8cc	%s called with tag switch in progress\n
ffffffffbfc2f8fc	FUN_ffffffffbfc2f8fc	cvmx_phys_to_ptr() passed a zero address\n
ffffffffbfc2fa94	FUN_ffffffffbfc2fa94	cvmx_ptr_to_phys() passed a NULL pointer\n
ffffffffbfc2fc38	FUN_ffffffffbfc2fc38	WARNING: Tag switch is taking a long time, possible deadlock\n
ffffffffbfc2fca0	FUN_ffffffffbfc2fca0	WARNING: FIX_IPD_PTR_ALIGNMENT buffer allocation failure.\n
ffffffffbfc2fca0	FUN_ffffffffbfc2fca0	cvmx_pow_work_request_sync
ffffffffbfc2fca0	FUN_ffffffffbfc2fca0	cvmx_pow_work_request_sync_nocheck
ffffffffbfc2fca0	FUN_ffffffffbfc2fca0	WARNING: FIX_IPD_PTR_ALIGNMENT get_work() timeout occured.\n
ffffffffbfc2fca0	FUN_ffffffffbfc2fca0	WARNING: FIX_IPD_PTR_ALIGNMENT failed.\n
ffffffffbfc30740	FUN_ffffffffbfc30740	cvmx_helper_rgmii_link_set waiting for GMX state machine 1 to be idle\n
ffffffffbfc30740	FUN_ffffffffbfc30740	cvmx_helper_rgmii_link_set waiting for GMX state machine 2 to be idle\n
ffffffffbfc30b84	FUN_ffffffffbfc30b84	ERROR: RGMII initialize called in SPI interface\n
ffffffffbfc30b84	FUN_ffffffffbfc30b84	ERROR: Unsupported Octeon model in %s\n
ffffffffbfc30b84	FUN_ffffffffbfc30b84	__cvmx_helper_rgmii_probe
ffffffffbfc314a4	FUN_ffffffffbfc314a4	SGMII%d: Waiting for port %d to be idle\n
ffffffffbfc32060	FUN_ffffffffbfc32060	UNKNOWN
ffffffffbfc32240	FUN_ffffffffbfc32240	cvmx_helper_get_interface_index_num: Illegal IPD port number\n
ffffffffbfc322a0	FUN_ffffffffbfc322a0	cvmx_helper_get_interface_num: Illegal IPD port number\n
ffffffffbfc324e4	FUN_ffffffffbfc324e4	cvmx_phys_to_ptr() passed a zero address\n
ffffffffbfc32538	FUN_ffffffffbfc32538	Packet Length:   %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Input Port:  %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    QoS:         %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffers:     %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer Start:%llx\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer I   : %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer Back: %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer Pool: %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer Data: %llx\n
ffffffffbfc32538	FUN_ffffffffbfc32538	    Buffer Size: %u\n
ffffffffbfc32538	FUN_ffffffffbfc32538	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc327b0	FUN_ffffffffbfc327b0	__cvmx_helper_setup_gmx: Illegal num_ports\n
ffffffffbfc33030	FUN_ffffffffbfc33030	## Loading Linux kernel with entry point: 0x%08qx ...\n
